# 义务教育语文课程标准（2022年版）附录5 义务教育语文课程常用字表
# 汉字共3500个
# （分为字表一（共2500字，“阿～做”）和字表二（共1000字，“蔼～佐”）），等同《通用规范汉字表》一级字。

阿	963F
啊	554A
哎	54CE
哀	54C0
唉	5509
埃	57C3
挨	6328
癌	764C
矮	77EE
艾	827E
爱	7231
碍	788D
安	5B89
氨	6C28
俺	4FFA
岸	5CB8
按	6309
案	6848
暗	6697
昂	6602
凹	51F9
熬	71AC
傲	50B2
奥	5965
澳	6FB3
八	516B
巴	5DF4
叭	53ED
吧	5427
拔	62D4
把	628A
坝	575D
爸	7238
罢	7F62
霸	9738
白	767D
百	767E
柏	67CF
摆	6446
败	8D25
拜	62DC
班	73ED
般	822C
颁	9881
斑	6591
搬	642C
板	677F
版	7248
办	529E
半	534A
伴	4F34
扮	626E
瓣	74E3
邦	90A6
帮	5E2E
膀	8180
傍	508D
棒	68D2
包	5305
胞	80DE
宝	5B9D
饱	9971
保	4FDD
堡	5821
报	62A5
抱	62B1
豹	8C79
暴	66B4
爆	7206
卑	5351
杯	676F
悲	60B2
碑	7891
北	5317
贝	8D1D
备	5907
背	80CC
倍	500D
被	88AB
辈	8F88
奔	5954
本	672C
崩	5D29
逼	903C
鼻	9F3B
比	6BD4
彼	5F7C
笔	7B14
币	5E01
必	5FC5
毕	6BD5
闭	95ED
辟	8F9F
碧	78A7
蔽	853D
壁	58C1
避	907F
臂	81C2
边	8FB9
编	7F16
蝙	8759
鞭	97AD
扁	6241
便	4FBF
变	53D8
遍	904D
辨	8FA8
辩	8FA9
标	6807
表	8868
别	522B
宾	5BBE
滨	6EE8
冰	51B0
兵	5175
丙	4E19
柄	67C4
饼	997C
并	5E76
病	75C5
拨	62E8
波	6CE2
玻	73BB
剥	5265
播	64AD
脖	8116
伯	4F2F
驳	9A73
泊	6CCA
勃	52C3
博	535A
搏	640F
膊	818A
薄	8584
卜	535C
补	8865
捕	6355
不	4E0D
布	5E03
步	6B65
部	90E8
擦	64E6
猜	731C
才	624D
材	6750
财	8D22
裁	88C1
采	91C7
彩	5F69
踩	8E29
菜	83DC
蔡	8521
参	53C2
餐	9910
残	6B8B
蚕	8695
惨	60E8
灿	707F
仓	4ED3
苍	82CD
舱	8231
藏	85CF
操	64CD
曹	66F9
槽	69FD
草	8349
册	518C
侧	4FA7
测	6D4B
策	7B56
层	5C42
叉	53C9
插	63D2
查	67E5
茶	8336
察	5BDF
差	5DEE
拆	62C6
柴	67F4
缠	7F20
产	4EA7
阐	9610
颤	98A4
昌	660C
长	957F
肠	80A0
尝	5C1D
偿	507F
常	5E38
厂	5382
场	573A
畅	7545
倡	5021
唱	5531
抄	6284
超	8D85
巢	5DE2
朝	671D
潮	6F6E
吵	5435
炒	7092
车	8F66
扯	626F
彻	5F7B
撤	64A4
尘	5C18
臣	81E3
沉	6C89
陈	9648
闯	95EF
衬	886C
称	79F0
趁	8D81
撑	6491
成	6210
呈	5448
承	627F
诚	8BDA
城	57CE
乘	4E58
惩	60E9
程	7A0B
橙	6A59
吃	5403
池	6C60
驰	9A70
迟	8FDF
持	6301
匙	5319
尺	5C3A
齿	9F7F
斥	65A5
赤	8D64
翅	7FC5
充	5145
冲	51B2
虫	866B
崇	5D07
抽	62BD
仇	4EC7
绸	7EF8
愁	6101
筹	7B79
酬	916C
丑	4E11
瞅	7785
臭	81ED
出	51FA
初	521D
除	9664
厨	53A8
础	7840
储	50A8
楚	695A
处	5904
触	89E6
川	5DDD
穿	7A7F
传	4F20
船	8239
喘	5598
串	4E32
窗	7A97
床	5E8A
晨	6668
创	521B
吹	5439
垂	5782
锤	9524
春	6625
纯	7EAF
唇	5507
醇	9187
词	8BCD
瓷	74F7
慈	6148
辞	8F9E
磁	78C1
雌	96CC
此	6B64
次	6B21
刺	523A
从	4ECE
匆	5306
葱	8471
聪	806A
丛	4E1B
凑	51D1
粗	7C97
促	4FC3
催	50AC
脆	8106
翠	7FE0
村	6751
存	5B58
寸	5BF8
措	63AA
错	9519
搭	642D
达	8FBE
答	7B54
打	6253
大	5927
呆	5446
代	4EE3
带	5E26
待	5F85
袋	888B
逮	902E
戴	6234
丹	4E39
单	5355
担	62C5
胆	80C6
旦	65E6
但	4F46
诞	8BDE
弹	5F39
淡	6DE1
蛋	86CB
氮	6C2E
当	5F53
挡	6321
党	515A
荡	8361
刀	5200
导	5BFC
岛	5C9B
倒	5012
蹈	8E48
到	5230
盗	76D7
道	9053
稻	7A3B
得	5F97
德	5FB7
的	7684
灯	706F
登	767B
等	7B49
邓	9093
凳	51F3
瞪	77AA
低	4F4E
堤	5824
滴	6EF4
迪	8FEA
敌	654C
笛	7B1B
底	5E95
抵	62B5
地	5730
弟	5F1F
帝	5E1D
递	9012
第	7B2C
颠	98A0
典	5178
点	70B9
电	7535
店	5E97
垫	57AB
淀	6DC0
殿	6BBF
雕	96D5
吊	540A
钓	9493
调	8C03
掉	6389
爹	7239
跌	8DCC
叠	53E0
蝶	8776
丁	4E01
叮	53EE
盯	76EF
钉	9489
顶	9876
订	8BA2
定	5B9A
丢	4E22
东	4E1C
冬	51AC
懂	61C2
动	52A8
冻	51BB
洞	6D1E
都	90FD
斗	6597
抖	6296
陡	9661
豆	8C46
督	7763
毒	6BD2
读	8BFB
独	72EC
堵	5835
赌	8D4C
杜	675C
肚	809A
度	5EA6
渡	6E21
端	7AEF
短	77ED
段	6BB5
断	65AD
锻	953B
堆	5806
队	961F
对	5BF9
吨	5428
敦	6566
蹲	8E72
盾	76FE
顿	987F
多	591A
夺	593A
朵	6735
躲	8EB2
俄	4FC4
鹅	9E45
额	989D
恶	6076
饿	997F
鳄	9CC4
恩	6069
儿	513F
而	800C
尔	5C14
耳	8033
二	4E8C
发	53D1
乏	4E4F
伐	4F10
罚	7F5A
阀	9600
法	6CD5
帆	5E06
番	756A
翻	7FFB
凡	51E1
烦	70E6
繁	7E41
反	53CD
